A1,80
B1,1042
C1,2107
D1,3942
E1,8334
F1,12396
G1,16681
H1,20147
 A2,71
 B2,1057
 C2,2098
 D2,4054
 E2,8158
 F2,12256
 G2,15940
 H2,20160
 A3,98
 B3,1010
 C3,2075
 D3,4060
 E3,8308
 F3,12639
 G3,16250
 H3,20942
 A4,11938
 B4,11169
 C4,6859
 D4,13059
 E4,11901
 F4,12295
 G4,14338
 H4,11286
 A5,11954
 B5,12836
 C5,13711
 D5,12526
 E5,9585
 F5,716
 G5,14077
 H5,12186
 A6,14313
 B6,14087
 C6,16044
 D6,15645
 E6,1079
 F6,15384
 G6,15641
 H6,14913
 A7,4703
 B7,14245
 C7,5319
 D7,14570
 E7,5959
 F7,6309
 G7,2646
 H7,14850
 A8,12028
 B8,708
 C8,12408
 D8,13144
 E8,4780
 F8,13867
 G8,7865
 H8,13126
 A9,10357
 B9,13278
 C9,12224
 D9,13993
 E9,11450
 F9,15389
 G9,8378
 H9,17691
 A10,7150
 B10,3693
 C10,12985
 D10,7537
 E10,13343
 F10,7338
 G10,6084
 H10,9257
 A11,714
 B11,5385
 C11,6380
 D11,9702
 E11,5063
 F11,3503
 G11,7920
 H11,4989
 A12,6778
 B12,3410
 C12,8339
 D12,4613
 E12,16389
 F12,1374
 G12,18201
 H12,1292
